manufacturer,model,aircraft_type,description,engine_count,engine_type,aircraft_category,engine_manufacturer,engine_model,body_type,max_seats,engine_source,max_seats_source,contributor,
CASA,1.131-E3B Jungmann,BU31,L1P,1,Piston,LandPlane,Hirth,HM 504,Private,1,https://en.wikipedia.org/wiki/B%C3%BCcker_B%C3%BC_131_Jungmann,https://en.wikipedia.org/wiki/B%C3%BCcker_B%C3%BC_131_Jungmann,Bhavye,
CASA,1.131E Jungmann,BU31,L1P,1,Piston,LandPlane,Hirth,HM 504,Private,1,https://en.wikipedia.org/wiki/B%C3%BCcker_B%C3%BC_131_Jungmann,https://en.wikipedia.org/wiki/B%C3%BCcker_B%C3%BC_131_Jungmann,Bhavye,
CASA,1.131E-1000 Jungmann,BU31,L1P,1,Piston,LandPlane,Elizalde SA,Tigre G-IV,Private,1,http://www.lightaircraftassociation.co.uk/engineering/TADs/242%20CASA%201-131-E%20SERIES%201000%20SERIES%202000%20JUNGMANN%20REPLICA.pdf,https://en.wikipedia.org/wiki/B%C3%BCcker_B%C3%BC_131_Jungmann,Bhavye,
CASA,1.131E-2000 Jungmann,BU31,L1P,1,Piston,LandPlane,Elizalde SA,Tigre G-IV,Private,1,http://www.lightaircraftassociation.co.uk/engineering/TADs/242%20CASA%201-131-E%20SERIES%201000%20SERIES%202000%20JUNGMANN%20REPLICA.pdf,https://en.wikipedia.org/wiki/B%C3%BCcker_B%C3%BC_131_Jungmann,Bhavye,
CASA,1.133 Jungmeister,BU33,L1P,1,Piston,LandPlane,Siemens & Halske,Sh 14A-4,Private,1,https://en.wikipedia.org/wiki/B%C3%BCcker_B%C3%BC_133_Jungmeister,https://en.wikipedia.org/wiki/B%C3%BCcker_B%C3%BC_133_Jungmeister,Bhavye,
Beechcraft,100 King Air,BE10,L2T,2,Turboprop/Turboshaft,LandPlane,Pratt & Whitney Canada,PT6A-135A,Regional,7,https://en.wikipedia.org/wiki/Beechcraft_King_Air,https://en.wikipedia.org/wiki/Beechcraft_King_Air,Bhavye,
Nord,1002 Pingouin II,ME08,L1P,1,Piston,LandPlane,Renault,Q6-10,Private,4,https://en.wikipedia.org/wiki/Nord_Pingouin,https://en.wikipedia.org/wiki/Nord_Pingouin,Bhavye,
Kawasaki,107,H46,H2T,2,Turboprop/Turboshaft,Helicopter,General Electric,CT581101;CT58IHI1101,Helicopter,5,https://www.airliners.net/aircraft-data/boeing-vertol-kawasaki-kv-107/117,https://en.wikipedia.org/wiki/Boeing_Vertol_CH-46_Sea_Knight,Bhavye,
Kawasaki,107-II,H46,H2T,2,Turboprop/Turboshaft,Helicopter,General Electric,CT581101;CT58IHI1101,Helicopter,5,https://www.airliners.net/aircraft-data/boeing-vertol-kawasaki-kv-107/117,https://en.wikipedia.org/wiki/Boeing_Vertol_CH-46_Sea_Knight,Bhavye,
Stinson,108,S108,L1P,1,Piston,LandPlane,Franklin,6A4-150;6AL-335,Private,4,https://www.flyingmag.com/story/aircraft/approachable-aircraft-stinson-108/,https://en.wikipedia.org/wiki/Stinson_108,Bhavye,
Stinson,108-1,S108,L1P,1,Piston,LandPlane,Franklin,6A4-150;6AL-336,Private,4,https://www.flyingmag.com/story/aircraft/approachable-aircraft-stinson-108/,https://en.wikipedia.org/wiki/Stinson_108,Bhavye,
Stinson,108-2,S108,L1P,1,Piston,LandPlane,Franklin,6A4-165-B3;6A4-165-B5,Private,4,https://en.wikipedia.org/wiki/Stinson_108,https://en.wikipedia.org/wiki/Stinson_108,Bhavye,
Stinson,108-3,S108,L1P,1,Piston,LandPlane,Franklin,6A4-165-B3;6A4-165-B5,Private,4,https://www.globalair.com/aircraft-for-sale/Specifications?specid=606,https://en.wikipedia.org/wiki/Stinson_108,Bhavye,
Stinson,108-3 Flying Station Wagon,S108,L1P,1,Piston,LandPlane,Franklin,6A4-165-B3,Private,4,https://www.planeandpilotmag.com/article/stinson-station-wagon-108-3/,https://en.wikipedia.org/wiki/Stinson_108,Bhavye,
Cessna,120,C120,L1P,1,Piston,LandPlane,Continental;Lycoming,C-85-12;C-85-12F;C-90-12F;C-90-14F;O-235-C1,Private,1,https://en.wikipedia.org/wiki/Cessna_140,https://en.wikipedia.org/wiki/Cessna_140,Bhavye,
Cessna,140,C140,L1P,1,Piston,LandPlane,Continental;Lycoming,C-85-12;C-85-12F;C-90-12F;C-90-14F;O-235-C1,Private,1,https://en.wikipedia.org/wiki/Cessna_140,https://en.wikipedia.org/wiki/Cessna_140,Bhavye,
Cessna,140A,C140,L1P,1,Piston,LandPlane,Continental,C-85-12;C-85-12F;C-85-14F;C-90-12F;C-90-14F,Private,1,https://en.wikipedia.org/wiki/Cessna_140,https://en.wikipedia.org/wiki/Cessna_140,Bhavye,
Cessna,150,C150,L1P,1,Piston,LandPlane,Continental,O-200,Private,2,https://en.wikipedia.org/wiki/Cessna_150,https://en.wikipedia.org/wiki/Cessna_150,Bhavye,
